ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-11-06,66117.00616400894,-29673.667295228868,27547.626376091746,66117.00616400894,66117.00616400894,-67936.63176455746,-67936.63176455746,-67936.63176455746,-30657.248195754,-30657.248195754,-30657.248195754,-1600.4310368612164,-1600.4310368612164,-1600.4310368612164,-35678.952531942254,-35678.952531942254,-35678.952531942254,0.0,0.0,0.0,-1819.6256005485193
2025-11-07,66518.46852159494,-22703.3166557732,36489.46344107205,66518.46852159494,66518.46852159494,-60171.123326365465,-60171.123326365465,-60171.123326365465,-30657.248195754,-30657.248195754,-30657.248195754,6641.878134649117,6641.878134649117,6641.878134649117,-36155.75326526059,-36155.75326526059,-36155.75326526059,0.0,0.0,0.0,6347.345195229478
2025-11-08,66919.93087918092,-32740.538304532765,29368.182354793338,66919.93087918092,66919.93087918092,-69096.6487189301,-69096.6487189301,-69096.6487189301,-30657.248195754,-30657.248195754,-30657.248195754,-1903.379281899906,-1903.379281899906,-1903.379281899906,-36536.021241276205,-36536.021241276205,-36536.021241276205,0.0,0.0,0.0,-2176.7178397491807
2025-11-09,67321.39323676689,-31910.2012738061,27551.080348686977,67321.39323676689,67321.39323676689,-69369.58029867976,-69369.58029867976,-69369.58029867976,-30657.248195754,-30657.248195754,-30657.248195754,-1906.682788444169,-1906.682788444169,-1906.682788444169,-36805.6493144816,-36805.6493144816,-36805.6493144816,0.0,0.0,0.0,-2048.187061912875
2025-11-10,67722.85559435288,-30921.757138753277,29703.439092515637,67722.85559435288,67722.85559435288,-67968.11846432254,-67968.11846432254,-67968.11846432254,-30657.248195754,-30657.248195754,-30657.248195754,-358.0915469720202,-358.0915469720202,-358.0915469720202,-36952.77872159652,-36952.77872159652,-36952.77872159652,0.0,0.0,0.0,-245.2628699696652
2025-11-11,68124.31795193887,-31665.901759884033,29558.454752523976,68124.31795193887,68124.31795193887,-69419.71067953612,-69419.71067953612,-69419.71067953612,-30657.248195754,-30657.248195754,-30657.248195754,-1794.1471434783468,-1794.1471434783468,-1794.1471434783468,-36968.31534030378,-36968.31534030378,-36968.31534030378,0.0,0.0,0.0,-1295.3927275972528
2025-11-12,68525.78032711393,-28387.36330854508,32822.85866451294,68525.78032711393,68525.78032711393,-66582.78708806164,-66582.78708806164,-66582.78708806164,-30657.248195754,-30657.248195754,-30657.248195754,920.853663028001,920.853663028001,920.853663028001,-36846.39255533564,-36846.39255533564,-36846.39255533564,0.0,0.0,0.0,1942.9932390522881
2025-11-13,68927.24270228898,-31795.291538500245,30719.815960969237,68927.24270228898,68927.24270228898,-68842.44359447653,-68842.44359447653,-68842.44359447653,-30657.248195754,-30657.248195754,-30657.248195754,-1600.43103687649,-1600.43103687649,-1600.43103687649,-36584.764361846035,-36584.764361846035,-36584.764361846035,0.0,0.0,0.0,84.79910781244689
2025-11-14,69328.70507746402,-23021.312306248565,36519.25192693745,69328.70507746402,69328.70507746402,-60200.48371084336,-60200.48371084336,-60200.48371084336,-30657.248195754,-30657.248195754,-30657.248195754,6641.878134654183,6641.878134654183,6641.878134654183,-36185.11364974354,-36185.11364974354,-36185.11364974354,0.0,0.0,0.0,9128.221366620666
2025-11-15,69730.16745263907,-29301.539793399414,29767.763582558753,69730.16745263907,69730.16745263907,-68213.88988876289,-68213.88988876289,-68213.88988876289,-30657.248195754,-30657.248195754,-30657.248195754,-1903.3792819002417,-1903.3792819002417,-1903.3792819002417,-35653.26241110864,-35653.26241110864,-35653.26241110864,0.0,0.0,0.0,1516.2775638761814
2025-11-16,70131.62982781412,-30759.278132140753,32948.49847724956,70131.62982781412,70131.62982781412,-67563.20384246329,-67563.20384246329,-67563.20384246329,-30657.248195754,-30657.248195754,-30657.248195754,-1906.6827884486825,-1906.6827884486825,-1906.6827884486825,-34999.27285826059,-34999.27285826059,-34999.27285826059,0.0,0.0,0.0,2568.4259853508265
2025-11-17,70533.09220298917,-25223.829435732318,36432.63565406839,70533.09220298917,70533.09220298917,-65252.77082780199,-65252.77082780199,-65252.77082780199,-30657.248195754,-30657.248195754,-30657.248195754,-358.0915469865167,-358.0915469865167,-358.0915469865167,-34237.431085061464,-34237.431085061464,-34237.431085061464,0.0,0.0,0.0,5280.3213751871735
