ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-05-22,-1328.6694553953046,-31769.720957087782,26705.075535182033,-1328.6694553953046,-1328.6694553953046,-497.2448554052479,-497.2448554052479,-497.2448554052479,-30657.248195754,-30657.248195754,-30657.248195754,-1600.4310368688539,-1600.4310368688539,-1600.4310368688539,31760.434377217603,31760.434377217603,31760.434377217603,0.0,0.0,0.0,-1825.9143108005524
2025-05-23,-927.2070458958775,-22845.7969329947,35745.36799128835,-927.2070458958775,-927.2070458958775,7185.581106290359,7185.581106290359,7185.581106290359,-30657.248195754,-30657.248195754,-30657.248195754,6641.878134650631,6641.878134650631,6641.878134650631,31200.95116739373,31200.95116739373,31200.95116739373,0.0,0.0,0.0,6258.374060394481
2025-05-24,-525.7446247067453,-31789.79279904777,26115.66640612515,-525.7446247067453,-525.7446247067453,-1894.89151594047,-1894.89151594047,-1894.89151594047,-30657.248195754,-30657.248195754,-30657.248195754,-1903.3792818842387,-1903.3792818842387,-1903.3792818842387,30665.735961697774,30665.735961697774,30665.735961697774,0.0,0.0,0.0,-2420.636140647215
2025-05-25,-124.28220351760982,-30051.053112998317,29606.91134114227,-124.28220351760982,-124.28220351760982,-2405.8764837022463,-2405.8764837022463,-2405.8764837022463,-30657.248195754,-30657.248195754,-30657.248195754,-1906.6827884344898,-1906.6827884344898,-1906.6827884344898,30158.054500486243,30158.054500486243,30158.054500486243,0.0,0.0,0.0,-2530.1586872198563
2025-05-26,277.1802176715224,-28395.13725557831,27981.703630543958,277.1802176715224,277.1802176715224,-1335.12882767788,-1335.12882767788,-1335.12882767788,-30657.248195754,-30657.248195754,-30657.248195754,-358.0915470067238,-358.0915470067238,-358.0915470067238,29680.210915082844,29680.210915082844,29680.210915082844,0.0,0.0,0.0,-1057.9486100063577
2025-05-27,678.6426388606579,-32625.125606788573,27071.113285914147,678.6426388606579,678.6426388606579,-3217.902144366182,-3217.902144366182,-3217.902144366182,-30657.248195754,-30657.248195754,-30657.248195754,-1794.1471434857144,-1794.1471434857144,-1794.1471434857144,29233.493194873536,29233.493194873536,29233.493194873536,0.0,0.0,0.0,-2539.259505505524
2025-05-28,1080.1050600497902,-28917.228730272785,32077.20262465656,1080.1050600497902,1080.1050600497902,-918.2444343463743,-918.2444343463743,-918.2444343463743,-30657.248195754,-30657.248195754,-30657.248195754,920.853663023665,920.853663023665,920.853663023665,28818.15009838396,28818.15009838396,28818.15009838396,0.0,0.0,0.0,161.86062570341585
2025-05-29,1481.5674812389257,-32158.914372843745,27362.9081074322,1481.5674812389257,1481.5674812389257,-3824.2786793454206,-3824.2786793454206,-3824.2786793454206,-30657.248195754,-30657.248195754,-30657.248195754,-1600.4310368638783,-1600.4310368638783,-1600.4310368638783,28433.400553272455,28433.400553272455,28433.400553272455,0.0,0.0,0.0,-2342.711198106495
2025-05-30,1883.029902428058,-22507.57122326445,37007.698846242754,1883.029902428058,1883.029902428058,4062.105394987955,4062.105394987955,4062.105394987955,-30657.248195754,-30657.248195754,-30657.248195754,6641.878134644094,6641.878134644094,6641.878134644094,28077.475456097865,28077.475456097865,28077.475456097865,0.0,0.0,0.0,5945.135297416013
2025-05-31,2284.4923236171903,-33924.917169717664,24941.080157349843,2284.4923236171903,2284.4923236171903,-4812.936820688375,-4812.936820688375,-4812.936820688375,-30657.248195754,-30657.248195754,-30657.248195754,-1903.379281884574,-1903.379281884574,-1903.379281884574,27747.690656950203,27747.690656950203,27747.690656950203,0.0,0.0,0.0,-2528.4444970711843
